country,part1,part2
can,M5H,2N2
can,K1A,0B1
can,H3A,1A2
can,G1R,5P9
can,V6B,1L6
can,T2P,1J9
can,T5J,2N2
can,R3C,4T3
can,B3J,3C8
can,S7K,3J8
can,S4P,3Y2
can,A1C,1J3
can,C1A,1P5
can,X1A,2P5
can,Y1A,2C6
can,X0A,0H0
uk,GU16,7HF
uk,L1,8JQ
uk,SW1W,0NY
uk,PO16,7GZ
deu,14199,undefined
deu,22041,undefined
